Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Specificity (Macro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),Specificity (Weighted)
KNN,0.7908,0.8032,0.6969,0.7287,0.8692,0.793,0.7908,0.7845,0.8167
Naive Bayes,0.4785,0.4718,0.5482,0.4618,0.7393,0.5519,0.4785,0.4866,0.7395
